HydroUnit,CUR_RCG_M,FOR_RCG_M,SAV_RCG_M,DLTA_FOR_M,DLTA_SAV_M,DLTA_FOR_PRC,DLTA_SAV_PRC
1,7.00794451,7.249198488,6.360841788,0.241253978,-0.647102722,0.034425783,-0.092338448
2,7.350524223,7.457127688,6.82786185,0.106603465,-0.522662373,0.014502838,-0.071105456
3,7.838255182,7.834320663,6.852132359,-0.003934519,-0.986122824,-0.000501964,-0.125808972
4,8.091858233,8.174799955,7.66616611,0.082941721,-0.425692124,0.010250022,-0.052607462
5,7.268509969,7.287593141,6.329266998,0.019083172,-0.939242971,0.002625459,-0.129220841
6,7.630768274,7.687812574,6.764763729,0.0570443,-0.866004545,0.007475564,-0.113488513
7,7.427821788,7.58546142,6.722845441,0.157639632,-0.704976347,0.021222861,-0.09491024
8,8.241427856,8.358887081,7.470421639,0.117459225,-0.771006217,0.014252291,-0.093552505
9,7.993761595,8.255404589,7.222759768,0.261642994,-0.771001827,0.032730898,-0.096450441
10,8.567151216,8.567390164,7.56149284,0.000238949,-1.005658375,2.78913E-05,-0.117385389
11,7.219180559,7.197002007,6.452252911,-0.022178552,-0.766927648,-0.00307217,-0.106234723
12,9.487208699,9.661513497,9.116948835,0.174304798,-0.370259863,0.018372611,-0.039027271
13,11.10434206,11.36166128,10.92575418,0.257319219,-0.178587881,0.023172847,-0.016082707
14,7.291208427,7.257274339,6.372619106,-0.033934088,-0.918589321,-0.00465411,-0.125985881
15,6.710826391,7.011392179,6.388836842,0.300565788,-0.321989549,0.044788193,-0.047980611
16,9.269301358,9.455612137,8.978099349,0.186310779,-0.291202009,0.020099765,-0.031415745
17,6.500148658,6.52725852,5.845642624,0.027109862,-0.654506034,0.004170653,-0.100690933
18,7.928503378,8.090176296,7.422014011,0.161672918,-0.506489368,0.020391354,-0.06388209
19,6.654825465,6.872600974,5.969788214,0.21777551,-0.68503725,0.032724451,-0.102938425
20,6.626917597,6.807999504,6.283073752,0.181081907,-0.343843845,0.027325209,-0.051885939
21,6.947096464,7.138243267,6.020383742,0.191146802,-0.926712723,0.027514632,-0.133395689
22,7.368193507,7.700583865,6.548758458,0.332390358,-0.819435048,0.045111513,-0.111212477
23,8.204124288,8.357530339,7.370965793,0.153406051,-0.833158495,0.01869865,-0.101553617
24,8.701506422,8.748583191,7.6899841,0.04707677,-1.011522322,0.005410186,-0.116246805
25,7.680074696,7.824117787,6.971418785,0.144043092,-0.70865591,0.018755429,-0.092272008
26,8.495525944,8.504963421,7.630403453,0.009437477,-0.865122491,0.001110876,-0.101832717
